industrial_property_rights
アクション名,アクションタイプ,類似業績マージ優先度,ID,産業財産権の種類,産業財産権名(日本語),産業財産権名(英語),発明者/考案者/創作者(日本語),発明者/考案者/創作者(英語),出願番号,出願日,出願人(機関)(日本語),出願人(機関)(英語),公開番号,公開日,公表番号,公表日,特許番号/登録番号,登録日,発行日,権利者(日本語),権利者(英語),出願国,取得国,概要(日本語),概要(英語),URL,主要な業績かどうか,公開の有無
insert,merge,null,32047902,patent_right,走査型透過電子顕微鏡による観察方法、走査型透過電子顕微鏡システム及びプログラム,"OBSERVATION METHOD BY MEANS OF SCANNING TRANSMISSION ELECTRON MICROSCOPE, SCANNING TRANSMISSION ELECTRON MICROSCOPE SYSTEM, AND PROGRAM","[柴田 直哉,関 岳人,大江 耕介,幾原 雄一]","[Naoya Shibata,Takehito Seki,Kousuke Ooe,Yuichi Ikuhara]",特願2019-203552,2019-11-08,東京大学,"The University of Tokyo",特開2021-077523,2021-05-20,null,null,特許7324504,2023-08-02,2023-08-10,東京大学,"The University of Tokyo",null,null,null,null,null,false,disclosed
insert,merge,null,42675900,patent_right,走査型透過電子顕微鏡による測定方法、走査型透過電子顕微鏡システム及びプログラム,null,"[関 岳人,柴田 直哉,埜上満,大江 耕介,幾原 雄一]",null,特願2023-101824,2023-06-21,東京大学,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
